Id,TamanhoPacote__c,CollectPoint__Latitude__s,CollectPoint__Longitude__s,DeliveryPoint__Latitude__s,DeliveryPoint__Longitude__s,CreatedDate,cluster
317bc187384c65775ea8f3b23aad4acf,2,-22.55660583014023,-47.4426026873449,-23.665930600578445,-47.02993636190237,2017-11-17 10:23:33,5
47999a7490ff2905f7ca3da2edcc9c52,2,-23.6901359553062,-46.70487596655891,-23.448542060505503,-46.59796136802471,2018-04-12 22:26:12,0
db8f21db0519c6ab351e3bbf641439ca,2,-23.500716537884472,-46.58971616264639,-22.86981926481748,-48.45696374622915,2018-04-20 19:36:34,4
8f815207602f16cdf25a3fb1858ca6be,2,-23.30432178573488,-45.97717112378096,-23.854365356661845,-46.95453617477526,2017-03-31 02:27:06,0
eaae3cf15cb2de079d33c44d3a8b2dc9,2,-23.73610169431168,-46.44166577625721,-23.58230353622406,-46.40332804591979,2018-02-19 22:00:34,0
30dbb7bb7d4c27c3efd6ab7c9c27f9d0,2,-22.557467011656755,-47.412519516792656,-23.490995469328887,-46.71518003941369,2018-04-03 11:53:18,5
2343d4a98379202b11d3ec66c322ab57,2,-22.411500328698448,-48.45605058860306,-23.620189610046737,-46.62541139884006,2018-03-22 18:07:42,2
49287801ce45d679f7744b39f6fb6131,2,-23.51633441909516,-46.54665246725141,-23.554750452680462,-46.50070100291418,2018-05-07 09:15:27,0
c3a3138b83444e2e6c24b0bdd327bd30,2,-22.82462154470405,-47.264055877674345,-23.63633439439665,-46.64885115015292,2017-12-11 21:59:48,5
628fedcd693f3b7d66306884d2c043c6,0,-24.03077309908247,-46.48748488550985,-23.50609758451153,-46.73241237719997,2017-07-29 18:28:57,6
84300a0c4b27875cb77c89f5383df360,2,-23.612052666446743,-46.60783466642034,-23.602447801835048,-46.58881997155058,2017-11-18 13:20:25,0
839b7051ec3965f51479de677b695b59,2,-23.197672917017687,-47.28917041020834,-23.514805626303925,-47.46355489723096,2018-04-21 16:00:29,5
5dbbb88d9ab8820dbe265323e2ab44a9,2,-23.4945751406988,-46.95875424775154,-23.576284696783446,-46.597673422511626,2017-11-01 12:01:39,0
4617a1e4f74a5e42a73b281034db89c5,2,-23.206255019158583,-47.30927660866177,-23.715914526390176,-46.7819351646447,2017-06-27 21:05:50,5
cdcc163c185b029690476757900236bf,0,-23.64924156841137,-46.66149025714124,-23.463362095475787,-46.59647161656762,2018-07-31 22:07:09,6
65b5697d10acdb50f0d5ce555c8aa46e,2,-22.82462154470405,-47.264055877674345,-23.547762303364262,-46.63536053788448,2018-03-23 19:11:32,5
1916f29d84d0c59dba74b70880457a8c,2,-23.537511255832708,-46.63705730743676,-22.15321602806684,-50.096240643242346,2018-03-14 21:23:59,9
4587cee7619ccea5e9958dd64fe2db8e,2,-23.47991005744708,-46.618817165416345,-23.724854378115623,-46.42232576882658,2018-08-10 16:28:31,0
1648b503676883c70854279700e3cfc3,2,-23.49269727560733,-46.654851038028696,-21.36235769739203,-48.232975701561735,2018-04-27 12:03:22,1
b51636cb252c5b72813e83843f8f73d4,2,-23.537511255832708,-46.63705730743676,-23.66930462115525,-46.48159847045406,2018-03-09 20:07:27,0
a279cafcc7359382fdd603518130fd1b,2,-23.63670719816495,-46.73809456287144,-22.963253612775464,-47.01219940781335,2018-02-03 13:26:26,4
f1eb378be592a06b8c3c6006b7d7102e,2,-23.480948043568617,-46.58920397460899,-23.49830072439266,-46.64974098750651,2017-11-27 16:36:37,0
16fd9b360cbadca08b1026c8532820f5,2,-22.38049984151139,-46.952964518892415,-23.48381025284207,-46.69528157314321,2017-12-03 14:05:06,5
7a28faee4e4959f358d2fdbe66e22107,2,-22.386432677217343,-47.54948279626647,-23.25777249999993,-45.82569514299996,2018-08-14 22:43:55,5
393a6c33172f80f95ddcb31d61f6368f,2,-23.69310169025909,-46.679201077990655,-23.69435938386508,-46.709580934358605,2018-03-06 14:07:38,0
46cede2272077facfeb5aa257851d0c3,2,-23.545859410180075,-46.49097687278091,-23.56786401832186,-46.59242413059029,2017-08-18 20:27:48,0
923c72c5c8bc167cdab01dbd3de020a8,2,-23.549508764643058,-46.53639808881068,-23.351354573361085,-47.85525165880219,2018-05-17 22:21:18,4
c6ab8a5c6fbd3bf57e9ad8407d950cc6,2,-22.942457434358605,-47.11496902345776,-23.537309857060443,-46.6787664476888,2018-01-29 11:04:44,5
b017cf1ddd183e5b8bff0e7c7821c75a,1,-23.55655694261692,-46.70611501594888,-23.221587583126546,-45.90665169219235,2018-05-15 19:01:54,3
990e3e00e06b1e57b3a48753fb244ab6,2,-23.79496318419343,-46.54706694123014,-21.90458849204745,-49.36042824669762,2018-06-13 21:59:30,1
2878b4e373a9556df9aa1708a4e5c3c8,2,-23.593477829345726,-46.6300893712196,-23.580017474897463,-46.73346263336026,2018-08-07 16:07:57,0
0f55b0d2cf0cef20a803b08673624f7e,1,-24.00774226672053,-46.42534066556061,-22.96042599570272,-45.55027479123935,2018-02-25 12:15:25,3
092166b50105729618cd1dfb1e7c650c,2,-23.537511255832708,-46.63705730743676,-22.828654864562257,-47.267296160568925,2018-04-03 13:55:45,4
80a16d66483cba1e11bd7f56a3cc175d,2,-24.03077309908247,-46.48748488550985,-23.6002907463212,-46.49829101970684,2018-07-26 15:57:48,0
de59016b99422f0bbd7e51a301bf2578,2,-23.54575486372553,-46.65030098889149,-21.92576605362672,-50.74077415347185,2017-01-20 01:59:05,9
ed510933339bd7b6d8e16d6c83026998,2,-22.273780358041392,-48.54247513835192,-23.3260510959052,-46.74858284830127,2017-09-01 08:03:41,2
5aadbda0877e0d99ba07f785cd29c362,0,-23.48988814879191,-46.37265745864769,-23.563144561198005,-46.62658014155458,2018-06-24 18:02:34,6
0b77e4a3c5557d452990e1cd1136f0b5,2,-23.20853446073054,-45.90036526464305,-22.404280214539902,-47.57843446971193,2017-12-17 15:48:33,4
693baf16595f02138e24e30ba2f1925e,2,-23.080145200450907,-46.95778578779591,-22.00268561118889,-47.42592206193028,2017-05-17 19:14:22,4
950863e2e170cafe0f1363b6debbf73c,2,-22.883333418766387,-47.04940666614242,-23.600412303912524,-46.62054169692418,2017-09-07 20:33:34,5
6ef39ba9ebeec91e5c34444a2c9bbb24,2,-21.36638094534681,-48.2203674778317,-23.569353157366287,-46.63690014002537,2017-11-24 01:36:16,8
e8cab458223cfed14e73ea0d7fe1a511,2,-23.65791224508045,-46.52088020260834,-23.455935,-46.58499675000001,2017-02-19 19:45:59,0
b6f5e3bc6360fbc485ff34695b7b3fdc,2,-23.56788988703906,-46.57394821510183,-23.48494880428892,-46.46811804567771,2017-09-02 16:43:04,0
0ec20e561e76d49aa3ca434872643de2,2,-23.65791224508045,-46.52088020260834,-23.491899953372947,-46.76073601748513,2017-10-24 10:24:30,0
4dacdd4bc2de0f5f0aa9e11a735e8e33,2,-21.43244049954755,-50.06402188573603,-22.72462686150384,-45.1116555874257,2018-04-13 08:56:04,7
bdea5bf2b68897e7d1b45eb51db0f18b,2,-22.297210743262784,-49.04576223564539,-23.500582512485654,-46.89233398345806,2018-07-17 14:10:52,2
0292fb46a5e22715459cb9a7b96e7aae,2,-23.56788988703906,-46.57394821510183,-22.76823217842944,-47.59592486661107,2018-04-18 21:43:22,4
7bac976651f930dc34309b61897ce46c,2,-21.10515772013821,-47.78577319246487,-23.545956195394982,-46.37061260352587,2017-06-28 20:08:40,8
4f53648717b48854fb9db283e2cf5d27,2,-23.53689213711117,-46.71311138051819,-22.083395632441874,-50.54042481026828,2017-05-13 20:17:09,9
901fa9040bdb5022b65e359c25dcf76a,2,-23.4945751406988,-46.95875424775154,-23.591966039961942,-46.63789362337693,2017-11-21 17:35:26,0
